side;x;y;dev_x_1;dev_y_1;dev_x_2;dev_y_2;dev_x_3;dev_y_3;dev_x_4;dev_y_4;dev_x_5;dev_y_5;dev_x_6;dev_y_6
height;-50;350;97;;96;;96;;94;;92;;93;
height;-50;450;201;;201;;199;;196;;192;;191;
height;-50;550;298;;298;;296;;197;;290;;292;
height;-50;650;400;;401;;397;;395;;396;;396;
height;270;350;97;;95;;98;;96;;96;;95;
height;270;450;202;;199;;198;;197;;193;;194;
height;270;550;298;;298;;296;;296;;292;;290;
height;270;650;400;;399;;397;;398;;394;;395;
height;550;350;98;;100;;97;;96;;94;;94;
height;550;450;202;;199;;198;;196;;192;;191;
height;550;550;298;;297;;297;;295;;293;;293;
height;550;650;400;;401;;385;;387;;394;;395;
middle;-50;80;0;0;0;0;2;0;3;2;5;3;6;3
middle;-50;230;1;1;1;2;3;2;2;3;3;5;3;7
middle;-50;380;1;1;0;1;2;2;2;4;2;5;4;7
middle;-50;520;1;3;0;3;0;3;2;5;1;7;1;9
middle;100;230;1;2;1;2;2;2;4;2;8;4;4;8
middle;100;380;0;1;1;1;2;3;0;3;2;7;3;9
middle;100;520;0;2;0;2;0;5;1;5;1;9;1;10
middle;250;230;2;2;2;3;0;1;4;2;4;8;4;8
middle;250;380;0;1;2;3;3;2;0;3;0;8;1;8
middle;250;520;1;1;2;2;0;3;0;4;1;9;1;9
middle;400;230;3;4;0;3;0;0;2;1;2;5;2;4
middle;400;380;3;1;2;2;4;3;4;4;5;8;6;8
middle;400;520;3;1;3;2;4;4;4;5;9;9;6;9
middle;550;80;4;0;3;0;4;5;0;4;5;8;4;10
middle;550;230;5;4;4;4;4;0;2;5;5;7;5;4
middle;550;380;4;2;4;2;4;5;3;5;7;8;6;5
middle;550;520;5;0;5;2;5;5;4;4;9;10;6;8
