should_axis,actual_axis
49.77294025933075,49.766700744628906
-19.53792387802166,-19.52538299560547
-19.53792387802166,-19.52550506591797
-19.53792387802166,-19.52574920654297
-19.53792387802166,-19.525856018066406
-19.53792387802166,-19.52599334716797
-19.53792387802166,-19.52611541748047
-19.53792387802166,-19.526268005371094
-19.53792387802166,-19.52635955810547
-19.53792387802166,-19.52660369873047
-19.53792387802166,-19.52685546875
-19.53792387802166,-19.52709197998047
-19.53792387802166,-19.52733612060547
-19.53792387802166,-19.52770233154297
-19.53792387802166,-19.528186798095703
-19.53792387802166,-19.52889060974121
-19.53792387802166,-19.530282974243164
-19.53792387802166,-19.532041549682617
-19.53792387802166,-19.53246307373047
-19.53792387802166,-19.53270721435547
-19.53792387802166,-19.53282928466797
-19.53792387802166,-19.53295135498047
-19.53792387802166,-19.53307342529297
-19.53792387802166,-19.53319549560547
-19.53792387802166,-19.53331756591797
-19.53792387802166,-19.53331756591797
-19.53792387802166,-19.53339958190918
-19.537923877924484,-19.53343963623047
-19.535034521278522,-19.533546447753906
-19.517118209521215,-19.53356170654297
-19.47536806261604,-19.53356170654297
-19.405567283521375,-19.53368377685547
-19.308706800418964,-19.53368377685547
-19.187542457531478,-19.53380584716797
-19.047156699387493,-19.53380584716797
-18.893502745661888,-19.53380584716797
-18.731465221149833,-19.53380584716797
-18.56481135187703,-19.533775329589844
-18.391783765136427,-19.50868034362793
-18.214382630093784,-19.46202278137207
-18.01706994350856,-19.381826400756836
-17.782800193774595,-19.27989387512207
-17.510658140950877,-19.164958953857422
-17.217320272177712,-19.034204483032227
-16.918834693183015,-18.885746002197266
-16.608301598781306,-18.733030319213867
-16.273050400195736,-18.56290626525879
-15.916858937829746,-18.38495635986328
-15.548644133164995,-18.15970802307129
-15.165933052511662,-17.927841186523438
-14.76624253591154,-17.667896270751953
-14.352983320110123,-17.393333435058594
-13.924373065743474,-17.093589782714844
-13.48143325458987,-16.78004264831543
-13.022980867029286,-16.44415855407715
-12.551856267108228,-16.1021671295166
-12.059923143184898,-15.72645378112793
-11.555263858263514,-15.346630096435547
-11.038447680356935,-14.947120666503906
-10.502721129752398,-14.538251876831055
-9.957167984179684,-14.144556045532227
-9.393786499904657,-13.682952880859375
-8.813900028288655,-13.220754623413086
-8.224074440596626,-12.74445915222168
-7.615099797580558,-12.255575180053711
-6.992346649412528,-11.754596710205078
-6.347249553185743,-11.255683898925781
-5.695173552738951,-10.730648040771484
-5.027266289871269,-10.174880981445312
-4.348545034189708,-9.612821578979492
-3.6538887178777695,-9.027355194091797
-2.947742641154351,-8.460750579833984
-2.232658165325757,-7.796531677246094
-1.505759963139806,-7.1974639892578125
-0.7671342364120691,-6.560771942138672
-0.007330882188249421,-5.916088104248047
0.7646084349354189,-5.231605529785156
1.529857616005497,-4.546743392944336
2.2992880377764657,-3.8623790740966797
3.0632214860731835,-3.156797409057617
3.8302537153741856,-2.3995838165283203
4.5972715747027895,-1.743062973022461
5.364329372558848,-0.9883060455322266
6.131041255087828,-0.2476215362548828
6.898281995542075,0.5209560990333557
7.668087070472608,1.2765008211135864
8.433477637023907,2.042154550552368
9.200734352241804,2.806427240371704
9.965817362872102,3.616241693496704
10.732514075160267,4.332142353057861
11.501635331354333,5.149656772613525
12.266576143066539,5.8727898597717285
13.035957038970185,6.691528797149658
13.800421731464159,7.440788745880127
14.567235072301177,8.175629615783691
15.334763395403577,8.925158500671387
16.1004431558942,9.711869239807129
16.867612783796208,10.475838661193848
17.634643418488448,11.301430702209473
18.401956854113664,12.014208793640137
19.17087520481431,12.791232109069824
19.935731335298225,13.548624992370605
20.70418793816688,14.323018074035645
21.47080795795603,15.106720924377441
22.235484347665246,15.860424995422363
23.003338597945035,16.614891052246094
23.770456321803078,17.400327682495117
24.536738420219447,18.182138442993164
25.30344312372748,18.93593406677246
26.0743027041299,19.721187591552734
26.837864681563065,20.46476173400879
27.604688408746572,21.228487014770508
28.371231736688227,22.002527236938477
29.13882555516252,22.808385848999023
29.905126841149492,23.559541702270508
30.67199530783643,24.4039363861084
31.440913643490664,25.1337947845459
32.20591198707684,25.878925323486328
32.975386338061966,26.690059661865234
33.74024726929644,27.396997451782227
34.508872420229,28.21907615661621
35.27578881011879,28.93172264099121
36.04272598365762,29.714252471923828
36.80736402542105,30.4785099029541
37.576498869774895,31.3012752532959
38.34131345136609,32.00503158569336
39.107466940252266,32.835731506347656
39.87572063743151,33.54850769042969
40.64197238157571,34.36369705200195
41.41122407005421,35.087181091308594
42.18109805646523,35.86397933959961
42.937905664252035,36.61548614501953
43.685109468765546,37.41457748413086
44.41650003896697,38.1304817199707
45.13806282028082,38.90948486328125
45.849138209867405,39.682823181152344
46.54890063746693,40.455604553222656
47.23660539510298,41.21542739868164
47.904792869080296,41.9664306640625
48.562902841002455,42.722015380859375
49.21091256264297,43.52248764038086
49.84066613555496,44.2066535949707
50.45924296894248,44.940101623535156
51.06491949748966,45.66323471069336
51.655794976764575,46.35655212402344
52.2275679717259,47.025272369384766
52.80394882989251,47.69203186035156
53.3726792751707,48.349700927734375
53.92050697502045,49.015159606933594
54.45757879191964,49.635868072509766
54.97701252437943,50.24894332885742
55.48463948400682,50.92021179199219
55.975340458213395,51.48100280761719
56.44971412382765,52.04743576049805
56.90961947576495,52.63719940185547
57.3557921953492,53.19328689575195
57.78305310357274,53.738502502441406
58.202075731675656,54.273738861083984
58.60255811909799,54.81468200683594
58.98166130364935,55.30331802368164
59.34279241861392,55.83134841918945
59.689137978657975,56.271766662597656
60.01774808667198,56.736385345458984
60.325368254954576,57.180641174316406
60.62371624927404,57.728519439697266
60.917856511099075,58.024539947509766
61.19688864036402,58.42005920410156
61.440042604221986,58.832542419433594
61.64202188020574,59.177616119384766
61.82187473560987,59.53376388549805
61.99072421635251,59.858642578125
62.150094948332196,60.18574523925781
62.30264881096355,60.47713088989258
62.4467705068025,60.76715850830078
62.57990248509363,61.0209846496582
62.69904711976361,61.25802993774414
62.800674660831675,61.488529205322266
62.88187654196301,61.64353942871094
62.94035492634654,61.762603759765625
62.975352513122296,61.91645050048828
62.987843066644515,61.98455047607422
62.98799219895382,62.08580780029297
62.98799219895382,62.198055267333984
62.98799219895382,62.31371307373047
62.98799219895382,62.42774963378906
62.98799219895382,62.53255844116211
62.98799219895382,62.64378356933594
62.98799219895382,62.760459899902344
62.98799219895382,62.850669860839844
62.98799219895382,62.907325744628906
62.98799219895382,62.919960021972656
62.98799219895382,62.92268753051758
62.98799219895382,62.92893981933594
62.98799219895382,62.931617736816406
62.98799219895382,62.93331527709961
62.98799219895382,62.940635681152344
62.98799219895382,62.94296646118164
62.98799219895382,62.94308853149414
62.98799219895382,62.94342041015625
62.98799219895382,62.94357681274414
62.98799219895382,62.94382095336914
62.98799219895382,62.94394302368164
62.98799219895382,62.94406509399414
62.98799219895382,62.94430923461914
62.98799219895382,62.94443130493164
62.98799219895382,62.94455337524414
62.98799219895382,62.94467544555664
62.98799219895382,62.94491958618164
62.98799219895382,62.94504165649414
62.98799219895382,62.94516372680664
62.98799219895382,62.945430755615234
62.98799219895382,62.94552993774414
62.98799219895382,62.94577407836914
62.98799219895382,62.94601821899414
62.98799219895382,62.946285247802734
62.98799219895382,62.94658660888672
62.98799219895382,62.946998596191406
62.98799219895382,62.94736862182617
62.98799219895382,62.94772720336914
62.98799219895382,62.94833755493164
62.98799219895382,62.949607849121094
62.98799219895382,62.951271057128906
62.98799219895382,62.951873779296875
62.98799219895382,62.95237731933594
62.98799219895382,62.95267105102539
